trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.995}",20,0,-98.05963553048717,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.99}",20,0,-48.487943893425154,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.985}",20,0,-67.45965449817902,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.98}",20,0,-126.21255666151818,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.975}",20,0,-181.44548578146333,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.8, 'e': 0.97}",20,0,-122.393853270015,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.965}",20,0,-96.14304106774807,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.96}",30,5,-77.20457416747061,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.955}",20,0,-104.81190316837929,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.95}",25,0,-35.14554756350822,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.8, 'e': 0.945}",25,0,-122.4549125513506,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.8, 'e': 0.94}",20,0,-161.34634882509692,"{0: 7, 1: 2, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.9349999999999999}",25,0,-123.52441181196153,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.9299999999999999}",30,0,-204.86835263610737,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.8, 'e': 0.9249999999999999}",25,0,-49.22036615806141,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9199999999999999}",20,12,-0.22093975916663444,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.9149999999999999}",25,0,-50.998770470931554,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
